DATA,ATIVO,COTAS,VLR COTA
2018-08-16 00:00:00,EDGA11,10.0,38.55
2018-08-17 00:00:00,,,
2018-08-20 00:00:00,TAEE11,,
2018-08-20 00:00:00,TAEE11,,
2018-08-20 00:00:00,ABCB4,60.0,14.93
2018-08-20 00:00:00,MXRF11,30.0,10.11
2018-08-22 00:00:00,NTNB,,
2018-08-23 00:00:00,PETR4,,
2018-08-28 00:00:00,ITSA4,,
2018-08-30 00:00:00,ITSA4,,
2018-08-30 00:00:00,NTNB,,
2018-08-31 00:00:00,,,
2018-08-31 00:00:00,BCFF11,10.0,77.9
2018-08-31 00:00:00,NTNF,,
2018-09-03 00:00:00,XPLG11,8.0,89.3
2018-09-05 00:00:00,,,
2018-09-05 00:00:00,NTNF,,
2018-09-05 00:00:00,VISC11,10.0,97.97
2018-09-06 00:00:00,,,
2018-09-06 00:00:00,BCFF11,10.0,78.15
2018-09-06 00:00:00,RBRR11,5.0,97.5
2018-09-10 00:00:00,NTNF,,
2018-09-11 00:00:00,ABCB4,50.0,14.43
2018-09-11 00:00:00,,,
2018-09-13 00:00:00,SDIL11,9.0,90.0
2018-09-13 00:00:00,MXRF11,25.0,10.0
2018-09-17 00:00:00,XPLG11,,
2018-09-17 00:00:00,SDIL11,,
2018-09-17 00:00:00,RBGS11,,
2018-09-17 00:00:00,MXRF11,,
2018-09-17 00:00:00,FIGS11,,
2018-09-17 00:00:00,BCFF11,,
2018-09-17 00:00:00,VISC11,,
2018-09-17 00:00:00,NTNF,,
2018-09-18 00:00:00,,,
2018-09-18 00:00:00,XPLG11,5.0,87.9
2018-09-21 00:00:00,,,
2018-09-22 00:00:00,ABCB4,50.0,14.35
2018-09-22 00:00:00,FIGS11,10.0,67.68
2018-09-24 00:00:00,ITSA4,50.0,9.7
2018-09-24 00:00:00,,,
2018-09-24 00:00:00,TIET11,100.0,9.66
2018-09-24 00:00:00,EDGA11,10.0,37.05
2018-09-24 00:00:00,MXRF11,45.0,9.82
2018-09-26 00:00:00,NTNF,,
2018-10-01 00:00:00,ITSA4,,
2018-10-03 00:00:00,,,
2018-10-03 00:00:00,SPTW11,10.0,71.15
2018-10-04 00:00:00,XPLG11,7.0,86.97
2018-10-05 00:00:00,,,
2018-10-05 00:00:00,BPFF11,,
2018-10-05 00:00:00,SPTW11,,
2018-10-05 00:00:00,ECOR3,100.0,7.81
2018-10-05 00:00:00,VISC11,10.0,96.91
2018-10-05 00:00:00,NTNF,,
2018-10-15 00:00:00,BCFF11,,
2018-10-15 00:00:00,VISC11,,
2018-10-15 00:00:00,SDIL11,,
2018-10-15 00:00:00,RBGS11,,
2018-10-15 00:00:00,FIGS11,,
2018-10-15 00:00:00,XPLG11,,
2018-10-15 00:00:00,MXRF11,,
2018-10-15 00:00:00,,,
2018-10-16 00:00:00,BPFF11,2.0,87.29
2018-10-16 00:00:00,MXRF11,50.0,9.86
2018-10-17 00:00:00,GGRC11,5.0,122.68
2018-10-17 00:00:00,RBRR11,,
2018-10-19 00:00:00,,,
2018-10-19 00:00:00,ABCB4,50.0,15.07
2018-10-19 00:00:00,FIGS11,5.0,67.11
2018-10-26 00:00:00,,,
2018-10-26 00:00:00,MXRF11,1.0,9.87
2018-10-30 00:00:00,GGRC11,5.0,123.25
2018-10-31 00:00:00,,,
2018-10-31 00:00:00,ABCB4,50.0,15.98
2018-11-01 00:00:00,GGRC11,9.0,123.34
2018-11-07 00:00:00,,,
2018-11-08 00:00:00,BPFF11,,
2018-11-08 00:00:00,SPTW11,,
2018-11-08 00:00:00,BMEB4,100.0,5.86
2018-11-08 00:00:00,NTNF,,
2018-11-08 00:00:00,,,
2018-11-09 00:00:00,RBRR11,5.0,100.72
2018-11-09 00:00:00,GGRC11,,
2018-11-12 00:00:00,NTNF,,
2018-11-13 00:00:00,,,
2018-11-14 00:00:00,KLBN4,,
2018-11-16 00:00:00,XPLG11,,
2018-11-16 00:00:00,VISC11,,
2018-11-16 00:00:00,SDIL11,,
2018-11-16 00:00:00,RGBS11,,
2018-11-16 00:00:00,MXRF11,,
2018-11-16 00:00:00,FIGS11,,
2018-11-16 00:00:00,BCFF11,,
2018-11-16 00:00:00,ECOR3,,
2018-11-16 00:00:00,SAPR4,100.0,10.42
2018-11-16 00:00:00,VISC11,5.0,103.9
2018-11-21 00:00:00,,,
2018-11-21 00:00:00,ABCB4,100.0,15.97
2018-11-21 00:00:00,RBRR11,,
2018-11-22 00:00:00,TIET11,,
2018-11-22 00:00:00,TAEE11,,
2018-11-22 00:00:00,SPTW11,7.0,73.69
2018-11-26 00:00:00,,,
2018-11-27 00:00:00,SPTW11,8.0,74.7
2018-11-27 00:00:00,BPFF11,6.0,89.99
2018-11-28 00:00:00,,,
2018-11-28 00:00:00,RBRR11,5.0,100.95
2018-11-29 00:00:00,,,
2018-11-29 00:00:00,PMAM3,500.0,1.49
2018-11-29 00:00:00,XPLG11,10.0,95.3
2018-11-30 00:00:00,BBAS3,,
2018-12-03 00:00:00,PETR4,,
2018-12-04 00:00:00,SDIL11,10.0,91.17
2018-12-04 00:00:00,,,
2018-12-05 00:00:00,,,
2018-12-05 00:00:00,,,
2018-12-06 00:00:00,,,
2018-12-06 00:00:00,NTNF,,
2018-12-07 00:00:00,BPFF11,,
2018-12-07 00:00:00,SPTW11,,
2018-12-07 00:00:00,SPTW11,10.0,73.38
2018-12-10 00:00:00,,,
2018-12-10 00:00:00,GGRC11,,
2018-12-10 00:00:00,NTNF,,
2018-12-10 00:00:00,XPLG11,5.0,96.35
2018-12-11 00:00:00,MXRF11,49.0,10.08
2018-12-11 00:00:00,WIZS3,100.0,6.94
2018-12-12 00:00:00,SAPR4,100.0,10.62
2018-12-12 00:00:00,SAPR4,-100.0,10.61
2018-12-14 00:00:00,RBGS11,,
2018-12-14 00:00:00,XPLG11,,
2018-12-14 00:00:00,SDIL11,,
2018-12-14 00:00:00,VISC11,,
2018-12-14 00:00:00,FIGS11,,
2018-12-14 00:00:00,BCFF11,,
2018-12-14 00:00:00,WIZS3,100.0,7.1
2018-12-17 00:00:00,MXRF11,,
2018-12-18 00:00:00,RBRR11,,
2018-12-19 00:00:00,,,
2018-12-19 00:00:00,XPLG11,10.0,96.8
2018-12-20 00:00:00,,,
2018-12-20 00:00:00,EDGA11,10.0,44.15
2018-12-20 00:00:00,FIGS11,10.0,69.7
2018-12-28 00:00:00,TAEE11,,
2018-12-28 00:00:00,EDGA11,,
2018-12-28 00:00:00,CMIG3,,
2018-12-28 00:00:00,BBAS3,,
2019-01-02 00:00:00,ITSA4,,
2019-01-02 00:00:00,,,
2019-01-02 00:00:00,NTNF,,
2019-01-02 00:00:00,EDGA11,10.0,43.5
2019-01-03 00:00:00,BPFF11,5.0,90.75
2019-01-07 00:00:00,,,
2019-01-08 00:00:00,BPFF11,,
2019-01-08 00:00:00,SPTW11,,
2019-01-09 00:00:00,GGRC11,,
2019-01-09 00:00:00,BMEB4,100.0,7.3
2019-01-09 00:00:00,PMAM3,500.0,1.38
2019-01-09 00:00:00,BCFF11,10.0,86.97
2019-01-14 00:00:00,CMIG3,-1000.0,16.2
2019-01-14 00:00:00,FIGS11,9.0,64.0
2019-01-15 00:00:00,XPLG11,,
2019-01-15 00:00:00,VISC11,,
2019-01-15 00:00:00,SDIL13,,
2019-01-15 00:00:00,SDIL11,,
2019-01-15 00:00:00,RBGS11,,
2019-01-15 00:00:00,MXRF11,,
2019-01-15 00:00:00,FIGS11,,
2019-01-15 00:00:00,BCFF11,,
2019-01-15 00:00:00,HGTX3,,
2019-01-15 00:00:00,FIGS11,6.0,61.4
2019-01-15 00:00:00,BPFF11,3.0,92.05
2019-01-16 00:00:00,,,
2019-01-17 00:00:00,RBRR11,,
2019-01-17 00:00:00,XPLG11,5.0,101.96
2019-01-17 00:00:00,VISC11,10.0,108.44
2019-01-18 00:00:00,RGBS11,10.0,43.65
2019-01-21 00:00:00,NTN-B,,
2019-01-21 00:00:00,NTN-F,,
2019-01-21 00:00:00,VISC11,5.0,108.12
